Previous_Location,Locations (city/country),Budget (USD),Weather_condition,Month,Distance (km),Gender,Accommodation,Languages,Travel_Companions
"Moscow, Russia","Bangkok, Thailand",500-800 USD,Humid,July,7064.46,Female,Airbnb,"['Thai', 'English']",Family
"Kuala Lumpur, Malaysia","Berlin, Germany",1500-3000 USD,Rainy,April,9614.39,Male,Airbnb,"['German', 'English']",Friends
"Buenos Aires, Argentina","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,1967.77,Female,Hotel,['Portuguese'],Friends
"Mexico City, Mexico","Berlin, Germany",1500-3000 USD,Rainy,May,9726.67,Male,Hotel,"['German', 'English']",Couple
"Buenos Aires, Argentina","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,1967.77,Female,GuestHouse,['Portuguese'],Couple
"Cairo, Egypt","Mumbai, India",800-1500 USD,Humid,June,4358.21,Male,Airbnb,"['Hindi', 'English']",Friends
"Dubai, UAE","Vienna, Austria",1500-3000 USD,Sunny,July,4233.89,Female,GuestHouse,['German'],Couple
"Rio de Janeiro, Brazil","Lisbon, Portugal",800-1500 USD,Rainy,October,7715.32,Male,Hotel,['Portuguese'],Family
"Dubai, UAE","Barcelona, Spain",1500-3000 USD,Rainy,November,5161.11,Female,GuestHouse,"['Spanish', 'Catalan']",Couple
"Mumbai, India","Toronto, Canada",1500-3000 USD,Rainy,May,12487.09,Female,GuestHouse,"['English', 'French']",Family
"Bangkok, Thailand","London, UK",1500-3000 USD,Sunny,July,9531.82,Male,Hotel,['English'],Colleagues
"Istanbul, Turkey","Santiago, Chile",800-1500 USD,Rainy,April,13104.58,Male,Hotel,['Spanish'],Friends
"Sydney, Australia","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,April,6615.09,Male,GuestHouse,"['Malay', 'English']",Friends
"Buenos Aires, Argentina","Bangkok, Thailand",500-800 USD,Sunny,November,16873.22,Male,Airbnb,"['Thai', 'English']",Family
"Amsterdam, Netherlands","New York, USA",1500-3000 USD,Sunny,June,5863.22,Male,Hotel,"['English', 'Spanish']",Friends
"Paris, France","Berlin, Germany",1500-3000 USD,Sunny,June,877.46,Female,Hotel,"['German', 'English']",Friends
"Bangkok, Thailand","Toronto, Canada",1500-3000 USD,Sunny,July,13631.67,Female,Airbnb,"['English', 'French']",Family
"Bangkok, Thailand","Santiago, Chile",800-1500 USD,Cold,July,17650.5,Female,GuestHouse,['Spanish'],Friends
"Barcelona, Spain","Mexico City, Mexico",800-1500 USD,Rainy,July,9489.44,Male,GuestHouse,['Spanish'],Couple
"Los Angeles, USA","Rome, Italy",1500-3000 USD,Rainy,November,10188.99,Female,GuestHouse,['Italian'],Couple
"Toronto, Canada","New York, USA",1500-3000 USD,Rainy,April,547.91,Female,Hotel,"['English', 'Spanish']",Family
"Berlin, Germany","Moscow, Russia",800-1500 USD,Rainy,September,1608.83,Male,Hotel,['Russian'],Family
"Lisbon, Portugal","Nairobi, Kenya",800-1500 USD,Humid,March,6462.15,Female,Hotel,"['Swahili', 'English']",Friends
"London, UK","Seoul, South Korea",1500-3000 USD,Cold,January,8857.35,Male,Airbnb,['Korean'],Couple
"Mexico City, Mexico","Tokyo, Japan",1500-3000 USD,Cloudy,November,11309.86,Female,Airbnb,['Japanese'],Solo
"Los Angeles, USA","Mumbai, India",800-1500 USD,Humid,June,13991.18,Male,Hotel,"['Hindi', 'English']",Family
"Mexico City, Mexico","Los Angeles, USA",1500-3000 USD,Rainy,February,2490.48,Female,GuestHouse,"['English', 'Spanish']",Friends
"Cairo, Egypt","Bangkok, Thailand",500-800 USD,Sunny,November,7269.03,Male,GuestHouse,"['Thai', 'English']",Couple
"Rio de Janeiro, Brazil","Amsterdam, Netherlands",1500-3000 USD,Sunny,May,9576.96,Female,Airbnb,"['Dutch', 'English']",Friends
"London, UK","Mumbai, India",800-1500 USD,Dry,October,7191.7,Female,Airbnb,"['Hindi', 'English']",Family
"Paris, France","Lisbon, Portugal",800-1500 USD,Cloudy,February,1452.93,Male,GuestHouse,['Portuguese'],Couple
"New York, USA","Dubai, UAE",1500-3000 USD,Rainy,December,11003.14,Female,Airbnb,"['Arabic', 'English']",Couple
"London, UK","Istanbul, Turkey",800-1500 USD,Rainy,December,2500.78,Female,GuestHouse,['Turkish'],Friends
"Rome, Italy","Tokyo, Japan",1500-3000 USD,Rainy,September,9852.38,Male,Airbnb,['Japanese'],Friends
"Rio de Janeiro, Brazil","Los Angeles, USA",1500-3000 USD,Sunny,June,10143.47,Male,GuestHouse,"['English', 'Spanish']",Couple
"Kuala Lumpur, Malaysia","Mexico City, Mexico",800-1500 USD,Rainy,August,16627.22,Female,GuestHouse,['Spanish'],Solo
Singapore,"Tokyo, Japan",1500-3000 USD,Humid,August,5311.22,Male,GuestHouse,['Japanese'],Friends
"Tokyo, Japan","New York, USA",1500-3000 USD,Sunny,August,10851.73,Female,GuestHouse,"['English', 'Spanish']",Family
"Hanoi, Vietnam","Budapest, Hungary",800-1500 USD,Rainy,May,8069.03,Male,GuestHouse,['Hungarian'],Family
"Mumbai, India","Toronto, Canada",1500-3000 USD,Rainy,May,12487.09,Male,Hotel,"['English', 'French']",Family
"Lisbon, Portugal","Cape Town, South Africa",800-1500 USD,Sunny,January,8563.15,Female,Hotel,"['English', 'Afrikaans', 'Xhosa']",Family
Singapore,"Rio de Janeiro, Brazil",500-800 USD,Rainy,March,15722.12,Male,GuestHouse,['Portuguese'],Solo
"Barcelona, Spain","Santiago, Chile",800-1500 USD,Rainy,April,11158.86,Female,Hotel,['Spanish'],Family
"London, UK","Santiago, Chile",800-1500 USD,Rainy,April,11672.78,Male,GuestHouse,['Spanish'],Friends
"Mumbai, India","Lisbon, Portugal",800-1500 USD,Sunny,July,8020.59,Male,Airbnb,['Portuguese'],Family
"Nairobi, Kenya","Amsterdam, Netherlands",1500-3000 USD,Sunny,May,6668.81,Female,Hotel,"['Dutch', 'English']",Friends
"Vienna, Austria","Sydney, Australia",1500-3000 USD,Cloudy,July,15975.72,Female,GuestHouse,['English'],Couple
"Berlin, Germany","Los Angeles, USA",1500-3000 USD,Sunny,July,9309.68,Female,Airbnb,"['English', 'Spanish']",Friends
"Rome, Italy","Mumbai, India",800-1500 USD,Humid,June,6175.11,Female,GuestHouse,"['Hindi', 'English']",Family
"Istanbul, Turkey","Budapest, Hungary",800-1500 USD,Sunny,June,1069.54,Female,Hotel,['Hungarian'],Couple
"Istanbul, Turkey","Bangkok, Thailand",500-800 USD,Rainy,October,7466.72,Male,GuestHouse,"['Thai', 'English']",Family
"Bangkok, Thailand","Budapest, Hungary",800-1500 USD,Rainy,May,8247.58,Female,Airbnb,['Hungarian'],Family
"London, UK","Bangkok, Thailand",500-800 USD,Humid,July,9531.82,Male,Airbnb,"['Thai', 'English']",Family
"London, UK","Nairobi, Kenya",800-1500 USD,Rainy,May,6819.73,Male,Hotel,"['Swahili', 'English']",Couple
"Nairobi, Kenya","Berlin, Germany",1500-3000 USD,Snowy,January,6370.02,Female,Hotel,"['German', 'English']",Friends
"Barcelona, Spain","Buenos Aires, Argentina",800-1500 USD,Sunny,January,10465.77,Male,GuestHouse,['Spanish'],Couple
"Mexico City, Mexico","Rio de Janeiro, Brazil",500-800 USD,Rainy,April,7683.47,Male,GuestHouse,['Portuguese'],Solo
"Seoul, South Korea","Bangkok, Thailand",500-800 USD,Rainy,October,3722.1,Male,Hotel,"['Thai', 'English']",Solo
"Buenos Aires, Argentina","Santiago, Chile",800-1500 USD,Rainy,April,1138.92,Male,Hotel,['Spanish'],Family
"Istanbul, Turkey","Amsterdam, Netherlands",1500-3000 USD,Rainy,November,2211.95,Female,Airbnb,"['Dutch', 'English']",Solo
"Seoul, South Korea","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,April,4614.35,Male,Airbnb,"['Malay', 'English']",Friends
"Santiago, Chile","Berlin, Germany",1500-3000 USD,Snowy,January,12525.36,Male,Hotel,"['German', 'English']",Friends
"Budapest, Hungary","Rio de Janeiro, Brazil",500-800 USD,Sunny,November,9987.41,Female,GuestHouse,['Portuguese'],Solo
"Santiago, Chile","Cairo, Egypt",500-800 USD,Sunny,October,12803.91,Female,Airbnb,"['Arabic', 'English']",Family
"Toronto, Canada","Lisbon, Portugal",800-1500 USD,Cloudy,February,5723.06,Female,GuestHouse,['Portuguese'],Friends
"Vienna, Austria","Cape Town, South Africa",800-1500 USD,Sunny,January,9135.06,Female,Airbnb,"['English', 'Afrikaans', 'Xhosa']",Family
"Seoul, South Korea","Budapest, Hungary",800-1500 USD,Sunny,July,8169.23,Male,Airbnb,['Hungarian'],Couple
"Istanbul, Turkey","Toronto, Canada",1500-3000 USD,Sunny,August,8191.15,Female,Airbnb,"['English', 'French']",Couple
"Santiago, Chile",Singapore,1500-3000 USD,Rainy,November,16400.12,Male,GuestHouse,"['English', 'Mandarin']",Colleagues
"Hanoi, Vietnam","Cairo, Egypt",500-800 USD,Sunny,October,7427.62,Female,Hotel,"['Arabic', 'English']",Couple
"Mexico City, Mexico","Vienna, Austria",1500-3000 USD,Rainy,April,10151.41,Male,GuestHouse,['German'],Couple
"Paris, France","Hanoi, Vietnam",500-800 USD,Rainy,May,9197.28,Female,Airbnb,['Vietnamese'],Family
"Seoul, South Korea","London, UK",1500-3000 USD,Rainy,April,8857.35,Male,Hotel,['English'],Colleagues
"Buenos Aires, Argentina","New York, USA",1500-3000 USD,Rainy,April,8526.19,Male,Hotel,"['English', 'Spanish']",Friends
"Moscow, Russia","Vienna, Austria",1500-3000 USD,Sunny,July,1669.7,Female,Hotel,['German'],Solo
"Los Angeles, USA","London, UK",1500-3000 USD,Sunny,July,8755.6,Male,Airbnb,['English'],Couple
Singapore,"Kuala Lumpur, Malaysia",800-1500 USD,Sunny,March,309.25,Female,Hotel,"['Malay', 'English']",Solo
"Cape Town, South Africa",Singapore,1500-3000 USD,Humid,May,9667.04,Male,Airbnb,"['English', 'Mandarin']",Friends
"Kuala Lumpur, Malaysia","Barcelona, Spain",1500-3000 USD,Rainy,December,10566.48,Male,Hotel,"['Spanish', 'Catalan']",Couple
"Sydney, Australia","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,6615.09,Female,Hotel,"['Malay', 'English']",Couple
"Barcelona, Spain","Los Angeles, USA",1500-3000 USD,Rainy,February,9653.99,Female,GuestHouse,"['English', 'Spanish']",Friends
"Dubai, UAE","Mumbai, India",800-1500 USD,Dry,October,1935.02,Female,Airbnb,"['Hindi', 'English']",Family
"Seoul, South Korea","Istanbul, Turkey",800-1500 USD,Sunny,May,7953.75,Female,GuestHouse,['Turkish'],Family
"Amsterdam, Netherlands","Dubai, UAE",1500-3000 USD,Sunny,October,5154.72,Male,Airbnb,"['Arabic', 'English']",Couple
"Los Angeles, USA","Sydney, Australia",1500-3000 USD,Cloudy,July,12073.51,Male,Airbnb,['English'],Family
"New York, USA","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,7759.04,Male,GuestHouse,['Portuguese'],Couple
"Paris, France","Cape Town, South Africa",800-1500 USD,Sunny,December,9341.74,Female,Hotel,"['English', 'Afrikaans', 'Xhosa']",Family
Singapore,"Amsterdam, Netherlands",1500-3000 USD,Rainy,December,10491.68,Female,Airbnb,"['Dutch', 'English']",Friends
"Hanoi, Vietnam","Lisbon, Portugal",800-1500 USD,Rainy,November,10538.36,Female,Hotel,['Portuguese'],Friends
"Mexico City, Mexico","Paris, France",1500-3000 USD,Sunny,June,9196.25,Female,GuestHouse,['French'],Couple
"Tokyo, Japan","Buenos Aires, Argentina",800-1500 USD,Sunny,December,18373.43,Male,Airbnb,['Spanish'],Friends
"Hanoi, Vietnam","Bangkok, Thailand",500-800 USD,Rainy,October,987.86,Male,Airbnb,"['Thai', 'English']",Couple
"Lisbon, Portugal","New York, USA",1500-3000 USD,Cloudy,December,5422.03,Male,Airbnb,"['English', 'Spanish']",Friends
"Santiago, Chile","Amsterdam, Netherlands",1500-3000 USD,Cloudy,October,12012.87,Male,Hotel,"['Dutch', 'English']",Couple
"Vienna, Austria","Nairobi, Kenya",800-1500 USD,Humid,March,5847.4,Female,Hotel,"['Swahili', 'English']",Solo
"Berlin, Germany","Barcelona, Spain",1500-3000 USD,Cloudy,March,1499.45,Male,GuestHouse,"['Spanish', 'Catalan']",Solo
"Buenos Aires, Argentina","Nairobi, Kenya",800-1500 USD,Rainy,May,10401.61,Male,GuestHouse,"['Swahili', 'English']",Friends
"Cairo, Egypt","Vienna, Austria",1500-3000 USD,Rainy,April,2382.8,Female,Airbnb,['German'],Couple
"Toronto, Canada","London, UK",1500-3000 USD,Sunny,July,5710.35,Female,GuestHouse,['English'],Colleagues
"Seoul, South Korea","New York, USA",1500-3000 USD,Cloudy,November,11052.58,Male,Hotel,"['English', 'Spanish']",Friends
"Barcelona, Spain","Seoul, South Korea",1500-3000 USD,Rainy,August,9601.93,Female,Hotel,['Korean'],Family
"Los Angeles, USA","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,April,14136.95,Female,GuestHouse,"['Malay', 'English']",Friends
"Lisbon, Portugal","Hanoi, Vietnam",500-800 USD,Sunny,March,10538.36,Female,GuestHouse,['Vietnamese'],Couple
"Mumbai, India","Amsterdam, Netherlands",1500-3000 USD,Sunny,June,6852.37,Female,Airbnb,"['Dutch', 'English']",Solo
"Mexico City, Mexico","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,April,16627.22,Female,Hotel,"['Malay', 'English']",Friends
"Budapest, Hungary","Rio de Janeiro, Brazil",500-800 USD,Rainy,April,9987.41,Male,GuestHouse,['Portuguese'],Solo
"Seoul, South Korea","Rio de Janeiro, Brazil",500-800 USD,Sunny,November,18133.08,Female,Hotel,['Portuguese'],Friends
"Bangkok, Thailand","Dubai, UAE",1500-3000 USD,Rainy,December,4883.14,Male,GuestHouse,"['Arabic', 'English']",Couple
"Amsterdam, Netherlands","Santiago, Chile",800-1500 USD,Rainy,April,12012.87,Female,GuestHouse,['Spanish'],Couple
"Mumbai, India","Lisbon, Portugal",800-1500 USD,Rainy,October,8020.59,Male,Airbnb,['Portuguese'],Friends
"Paris, France","Sydney, Australia",1500-3000 USD,Rainy,March,16960.5,Male,Airbnb,['English'],Couple
"Berlin, Germany","Lisbon, Portugal",800-1500 USD,Rainy,October,2312.12,Female,Airbnb,['Portuguese'],Family
"Dubai, UAE",Singapore,1500-3000 USD,Humid,April,5837.37,Male,Hotel,"['English', 'Mandarin']",Friends
"Barcelona, Spain","Los Angeles, USA",1500-3000 USD,Rainy,January,9653.99,Male,Hotel,"['English', 'Spanish']",Friends
"Paris, France","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,April,10424.01,Female,Hotel,"['Malay', 'English']",Solo
"Budapest, Hungary","Istanbul, Turkey",800-1500 USD,Rainy,December,1069.54,Male,Hotel,['Turkish'],Couple
"Seoul, South Korea","Nairobi, Kenya",800-1500 USD,Sunny,December,10108.92,Female,Hotel,"['Swahili', 'English']",Friends
"Santiago, Chile","Hanoi, Vietnam",500-800 USD,Sunny,February,18592.17,Female,GuestHouse,['Vietnamese'],Friends
"Rome, Italy","Bangkok, Thailand",500-800 USD,Rainy,October,8828.72,Female,GuestHouse,"['Thai', 'English']",Couple
"Hanoi, Vietnam","Budapest, Hungary",800-1500 USD,Rainy,May,8069.03,Female,Hotel,['Hungarian'],Friends
"Paris, France","Lisbon, Portugal",800-1500 USD,Rainy,October,1452.93,Female,GuestHouse,['Portuguese'],Friends
"Sydney, Australia","Santiago, Chile",800-1500 USD,Sunny,December,11346.72,Female,Airbnb,['Spanish'],Friends
"Barcelona, Spain","Hanoi, Vietnam",500-800 USD,Sunny,March,9551.01,Male,Hotel,['Vietnamese'],Family
"Cairo, Egypt","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,April,7954.96,Male,Hotel,"['Malay', 'English']",Solo
"Santiago, Chile","Rome, Italy",1500-3000 USD,Sunny,July,11910.21,Female,GuestHouse,['Italian'],Friends
"Dubai, UAE","Sydney, Australia",1500-3000 USD,Rainy,April,12051.25,Female,Airbnb,['English'],Family
"Nairobi, Kenya","Lisbon, Portugal",800-1500 USD,Sunny,June,6462.15,Female,Airbnb,['Portuguese'],Family
"Toronto, Canada","Istanbul, Turkey",800-1500 USD,Rainy,December,8191.15,Female,Airbnb,['Turkish'],Friends
"London, UK","Bangkok, Thailand",500-800 USD,Sunny,November,9531.82,Female,Airbnb,"['Thai', 'English']",Family
"Barcelona, Spain","Amsterdam, Netherlands",1500-3000 USD,Cloudy,October,1238.47,Male,Hotel,"['Dutch', 'English']",Couple
"Kuala Lumpur, Malaysia",Singapore,1500-3000 USD,Humid,April,309.25,Female,GuestHouse,"['English', 'Mandarin']",Friends
"Budapest, Hungary","Cape Town, South Africa",800-1500 USD,Rainy,June,9054.01,Male,Hotel,"['English', 'Afrikaans', 'Xhosa']",Family
"Barcelona, Spain","London, UK",1500-3000 USD,Rainy,March,1139.12,Female,Hotel,['English'],Couple
"Los Angeles, USA","Vienna, Austria",1500-3000 USD,Sunny,June,9818.52,Male,Hotel,['German'],Solo
"Vienna, Austria","Lisbon, Portugal",800-1500 USD,Rainy,October,2298.46,Female,Hotel,['Portuguese'],Friends
"Santiago, Chile","Mexico City, Mexico",800-1500 USD,Rainy,August,6610.1,Male,Airbnb,['Spanish'],Solo
"New York, USA","Los Angeles, USA",1500-3000 USD,Rainy,January,3935.75,Male,Hotel,"['English', 'Spanish']",Friends
"Kuala Lumpur, Malaysia","Berlin, Germany",1500-3000 USD,Sunny,June,9614.39,Female,Hotel,"['German', 'English']",Solo
Singapore,"Mexico City, Mexico",800-1500 USD,Rainy,July,16606.7,Female,GuestHouse,['Spanish'],Couple
"Rio de Janeiro, Brazil","Seoul, South Korea",1500-3000 USD,Cold,February,18133.08,Male,Airbnb,['Korean'],Family
"Budapest, Hungary","Moscow, Russia",800-1500 USD,Cold,February,1569.15,Female,Airbnb,['Russian'],Colleagues
"Los Angeles, USA","Cairo, Egypt",500-800 USD,Windy,April,12200.71,Male,GuestHouse,"['Arabic', 'English']",Family
"Rio de Janeiro, Brazil","Cairo, Egypt",500-800 USD,Sunny,October,9883.71,Male,Airbnb,"['Arabic', 'English']",Family
"Buenos Aires, Argentina","Berlin, Germany",1500-3000 USD,Snowy,January,11909.52,Male,Hotel,"['German', 'English']",Couple
"London, UK","Los Angeles, USA",1500-3000 USD,Sunny,July,8755.6,Female,Airbnb,"['English', 'Spanish']",Couple
"Santiago, Chile","Nairobi, Kenya",800-1500 USD,Sunny,January,11540.35,Male,Hotel,"['Swahili', 'English']",Solo
"London, UK","Toronto, Canada",1500-3000 USD,Snowy,January,5710.35,Male,Hotel,"['English', 'French']",Friends
"Bangkok, Thailand","Budapest, Hungary",800-1500 USD,Rainy,April,8247.58,Male,Airbnb,['Hungarian'],Family
"Paris, France","Budapest, Hungary",800-1500 USD,Cold,January,1244.01,Female,Airbnb,['Hungarian'],Friends
"Rio de Janeiro, Brazil","London, UK",1500-3000 USD,Sunny,July,9277.42,Female,GuestHouse,['English'],Colleagues
"Nairobi, Kenya","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,8926.89,Female,Airbnb,['Portuguese'],Couple
"New York, USA","Budapest, Hungary",800-1500 USD,Rainy,April,7007.56,Female,GuestHouse,['Hungarian'],Friends
"Vienna, Austria","Toronto, Canada",1500-3000 USD,Rainy,May,6914.97,Male,Airbnb,"['English', 'French']",Couple
"Rome, Italy","Hanoi, Vietnam",500-800 USD,Humid,July,8731.43,Male,Airbnb,['Vietnamese'],Couple
"Istanbul, Turkey","Vienna, Austria",1500-3000 USD,Rainy,May,1276.51,Male,GuestHouse,['German'],Friends
"Budapest, Hungary","Sydney, Australia",1500-3000 USD,Sunny,December,15783.99,Male,Airbnb,['English'],Family
"Toronto, Canada","Nairobi, Kenya",800-1500 USD,Rainy,May,12180.3,Female,GuestHouse,"['Swahili', 'English']",Friends
"Mexico City, Mexico","Amsterdam, Netherlands",1500-3000 USD,Rainy,December,9216.7,Male,Hotel,"['Dutch', 'English']",Couple
"Toronto, Canada","Sydney, Australia",1500-3000 USD,Rainy,March,15570.49,Male,Airbnb,['English'],Friends
"Sydney, Australia","Barcelona, Spain",1500-3000 USD,Cloudy,April,17180.25,Male,Airbnb,"['Spanish', 'Catalan']",Couple
"Amsterdam, Netherlands","Rome, Italy",1500-3000 USD,Snowy,January,1295.95,Male,GuestHouse,['Italian'],Family
"Buenos Aires, Argentina","Barcelona, Spain",1500-3000 USD,Cloudy,March,10465.77,Male,Hotel,"['Spanish', 'Catalan']",Couple
"Mexico City, Mexico","Hanoi, Vietnam",500-800 USD,Humid,July,14758.15,Male,GuestHouse,['Vietnamese'],Friends
"Mumbai, India","Rome, Italy",1500-3000 USD,Rainy,November,6175.11,Female,Airbnb,['Italian'],Family
"Paris, France","Dubai, UAE",1500-3000 USD,Sunny,October,5242.95,Male,Hotel,"['Arabic', 'English']",Family
"Nairobi, Kenya","Seoul, South Korea",1500-3000 USD,Sunny,April,10108.92,Male,Airbnb,['Korean'],Family
"Dubai, UAE","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,11874.57,Female,Airbnb,['Portuguese'],Solo
"Istanbul, Turkey","Hanoi, Vietnam",500-800 USD,Sunny,February,7417.8,Female,GuestHouse,['Vietnamese'],Family
"New York, USA","Nairobi, Kenya",800-1500 USD,Sunny,December,11842.35,Female,Airbnb,"['Swahili', 'English']",Solo
"Mexico City, Mexico","Amsterdam, Netherlands",1500-3000 USD,Rainy,December,9216.7,Female,GuestHouse,"['Dutch', 'English']",Friends
"Santiago, Chile","Mexico City, Mexico",800-1500 USD,Cold,December,6610.1,Female,Hotel,['Spanish'],Solo
"Rome, Italy","Paris, France",1500-3000 USD,Sunny,July,1105.28,Female,Hotel,['French'],Family
"Toronto, Canada","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,14811.25,Female,Hotel,"['Malay', 'English']",Solo
"Kuala Lumpur, Malaysia","Moscow, Russia",800-1500 USD,Rainy,August,8126.61,Male,GuestHouse,['Russian'],Couple
"Amsterdam, Netherlands","Dubai, UAE",1500-3000 USD,Rainy,December,5154.72,Male,Hotel,"['Arabic', 'English']",Colleagues
"Nairobi, Kenya","Cairo, Egypt",500-800 USD,Windy,April,3533.78,Female,GuestHouse,"['Arabic', 'English']",Couple
"Rome, Italy","Buenos Aires, Argentina",800-1500 USD,Cold,July,11151.54,Male,Hotel,['Spanish'],Couple
"Bangkok, Thailand","Nairobi, Kenya",800-1500 USD,Humid,March,7209.87,Female,Hotel,"['Swahili', 'English']",Solo
"Amsterdam, Netherlands","Vienna, Austria",1500-3000 USD,Sunny,June,935.45,Female,GuestHouse,['German'],Couple
